imdb_code,title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$,profit_loss_$,return_pct,domestic_%
tt0425413,"Run, Fatboy, Run",2008,Mar,28.0,10000000,6003262,33512260,23512260,235.1226,17.913629221067158
tt1772288,Danny Collins,2015,Mar,20.0,10000000,5637066,8465845,-1534155,-15.341550000000002,66.58598167105588
tt1156320,Rescue Dawn,2007,Jul,4.0,10000000,5490423,7037886,-2962114,-29.621140000000004,78.01238894747655
tt8820612,Stan & Ollie,2018,Dec,28.0,10000000,5470235,29062674,19062674,190.62674,18.82220128815401
tt6521876,Jay and Silent Bob Reboot,2019,Oct,18.0,10000000,4589490,4710507,-5289493,-52.89493,97.43091348765644
tt10798734,Brian Banks,2019,Aug,9.0,10000000,4376820,4376820,-5623180,-56.23180000000001,100.0
tt1801552,Gotti,2018,Jun,15.0,10000000,4286367,6601992,-3398008,-33.98008,64.92535889167996
tt1588334,"Jeff, Who Lives at Home",2012,Mar,16.0,10000000,4269426,4708127,-5291873,-52.918730000000004,90.6820482964882
tt4645330,Denial,2016,Sep,30.0,10000000,4073448,9263940,-736060,-7.3606000000000025,43.97101017493637
tt0787524,The Man Who Knew Infinity,2016,Mar,11.0,10000000,3877922,12382122,2382122,23.82122,31.31871903701159
tt1472584,Max Steel,2016,Oct,14.0,10000000,3818664,4563080,-5436920,-54.369200000000006,83.68610675245668
tt2937696,Everybody Wants Some,2016,Mar,30.0,10000000,3400278,5437126,-4562874,-45.62874,62.538149750438
tt2752688,Rosewater,2014,Nov,14.0,10000000,3128941,3185717,-6814283,-68.14283,98.21779524044352
tt1411664,Bucky Larson: Born to Be a Star,2011,Sep,9.0,10000000,2529395,2529395,-7470605,-74.70605,100.0
tt3850544,Hillsong: Let Hope Rise,2016,Sep,16.0,10000000,2394725,2678525,-7321475,-73.21475000000002,89.40461634668335
tt1491044,The Iceman,2013,May,3.0,10000000,1930282,3623609,-6376391,-63.76391,53.26959945181724
tt6049430,Testament of Youth,2015,Jan,16.0,10000000,1822250,6646669,-3353331,-33.53331,27.41598836951261
tt4158096,Free Fire,2017,Mar,31.0,10000000,1799322,3793739,-6206261,-62.06261000000001,47.42872401079779
tt1554091,A Better Life,2011,Jun,24.0,10000000,1759252,1884251,-8115749,-81.15749000000002,93.36611735909919
tt2367359,The Joneses,2010,Apr,16.0,10000000,1475746,3541565,-6458435,-64.58435,41.66931850749597
tt1726669,Killer Joe,2012,Jun,29.0,10000000,1291645,4659110,-5340890,-53.4089,27.72299859844477
tt2674454,Churchill,2017,Mar,30.0,10000000,1279681,7582196,-2417804,-24.17804000000001,16.877445531611162
tt1777595,50 to 1,2014,Mar,21.0,10000000,1069454,1069454,-8930546,-89.30546000000002,100.0
tt0955411,The Ten Commandments,2007,Oct,19.0,10000000,952820,1051907,-8948093,-89.48093,90.58025091571785
tt0784972,The Brothers Solomon,2007,Sep,7.0,10000000,900926,900926,-9099074,-90.99074,100.0
tt0765120,My Blueberry Nights,2008,Apr,4.0,10000000,866778,22198996,12198996,121.98996000000001,3.9045819910053594
tt1372686,Coriolanus,2012,Jan,20.0,10000000,749641,2536707,-7463293,-74.63293,29.551737745037173
tt4023464,Our Friend,2021,Jan,22.0,10000000,657351,714095,-9285905,-92.85905,92.05371834279751
tt2345112,Parkland,2013,Oct,4.0,10000000,641439,1616353,-8383647,-83.83646999999998,39.684338755210035
tt0884224,"War, Inc.",2008,May,23.0,10000000,580862,1299855,-8700145,-87.00145,44.68667659085053
tt0388182,King of California,2007,Sep,14.0,10000000,268461,1165102,-8834898,-88.34898000000004,23.04184526333316
tt1262981,World's Greatest Dad,2009,Aug,21.0,10000000,221805,295750,-9704250,-97.0425,74.99746407438715
tt2553908,"Cinco de Mayo, La Batalla",2013,May,3.0,10000000,173472,173472,-9826528,-98.26528,100.0
tt1183923,Welcome to the Rileys,2010,Oct,29.0,10000000,152857,355919,-9644081,-96.44081,42.947131229296545
tt4254584,Kicks,2016,Sep,9.0,10000000,150191,150191,-9849809,-98.49809,100.0
tt1128071,Free Style,2009,Oct,9.0,10000000,141108,721108,-9278892,-92.78892,19.56822001697388
tt2170584,High School,2012,Jun,1.0,10000000,139034,248133,-9751867,-97.51867,56.03204732945639
tt0953896,Severance,2007,May,18.0,10000000,137221,5950002,-4049998,-40.49998,2.3062345189127664
tt1210039,Blood Done Sign My Name,2010,Feb,19.0,10000000,109383,109383,-9890617,-98.90617,100.0
tt1247662,The Good Guy,2010,Feb,19.0,10000000,100688,106460,-9893540,-98.9354,94.5782453503663
tt1220220,Motherhood,2009,Oct,23.0,10000000,93388,723388,-9276612,-92.76612,12.909807738032706
tt2113659,Elsa & Fred,2014,Nov,7.0,10000000,67657,197901,-9802099,-98.02099,34.18729566803604
tt1007018,The Open Road,2009,Aug,28.0,10000000,19716,19716,-9980284,-99.80284,100.0
tt2325977,Strangerland,2015,Jun,11.0,10000000,17472,161097,-9838903,-98.38903,10.845639583604909
tt1210071,Janky Promoters,2009,Oct,16.0,10000000,9069,9069,-9990931,-99.90931,100.0
tt0887719,Blonde Ambition,2007,Dec,21.0,10000000,6422,1537479,-8462521,-84.62521000000002,0.41769676203707495
tt3202120,Barbecue,2014,Jul,25.0,10000000,388,247565,-9752435,-97.52435,0.15672651626845474
tt3352390,Friend Request,2016,Jan,7.0,9900000,3759078,11310835,1410835,14.250858585858586,33.234310287436784
tt1376195,Gunless,2010,Apr,30.0,9900000,458054,458054,-9441946,-95.37319191919191,100.0
tt1091722,Adventureland,2009,Apr,3.0,9800000,16044025,17553055,7753055,79.11280612244899,91.40303497026586
tt1602620,Amour,2012,Sep,20.0,9700000,6738954,36787044,27087044,279.24787628865977,18.318824420902097
tt3859076,Truth,2015,Oct,16.0,9600000,2541854,6842580,-2757420,-28.723125,37.147596374466936
tt5074352,Dangal,2016,Dec,21.0,9500000,12391761,305149461,295649461,3112.0995894736852,4.060882480143067
tt1017451,The Runaways,2010,Mar,19.0,9500000,3573673,5278632,-4221368,-44.43545263157896,67.70074140421231
tt1161418,Gentlemen Broncos,2009,Oct,30.0,9500000,115155,119955,-9380045,-98.73731578947368,95.99849943728898
tt1527186,Melancholia,2011,Nov,11.0,9400000,3030848,21817298,12417298,132.09891489361704,13.891949406383867
tt8045906,Words on Bathroom Walls,2020,Aug,21.0,9300000,2542518,3117353,-6182647,-66.4800752688172,81.56015696650331
tt2176013,Jab Tak Hai Jaan,2012,Nov,13.0,9200000,3047539,5806666,-3393334,-36.88406521739132,52.483456083060396
tt1198101,Kites,2010,May,21.0,9200000,1685269,17155193,7955193,86.4694891304348,9.823666804564658
tt3716530,Elle,2016,May,27.0,9100000,2339735,16517708,7417708,81.51327472527474,14.165010060717867
tt10716744,Split,2017,Jan,18.0,9000000,138141585,278754594,269754594,2997.273266666666,49.55670255249677
tt2975578,The Purge: Anarchy,2014,Jul,16.0,9000000,71562550,111534881,102534881,1139.2764555555557,64.16158726165672
tt5886046,Escape Room,2019,Jan,2.0,9000000,57000756,155615727,146615727,1629.0636333333334,36.629174376443316
tt4913966,The Curse of La Llorona,2019,Apr,17.0,9000000,54733739,121661395,112661395,1251.7932777777778,44.988584094403976
tt0482606,The Strangers,2008,May,30.0,9000000,52597610,83051676,74051676,822.7964000000003,63.33118430987474
tt4361050,Ouija: Origin of Evil,2016,Oct,20.0,9000000,35144505,81831866,72831866,809.2429555555556,42.94721203106867
tt8155288,Happy Death Day 2U,2019,Feb,13.0,9000000,28148130,64686515,55686515,618.7390555555556,43.51467999164896
tt8772262,Midsommar,2019,Jul,3.0,9000000,27426363,46830824,37830824,420.34248888888885,58.564767085883425
tt0386032,Sicko,2007,Jun,22.0,9000000,24538513,36535837,27535837,305.95374444444445,67.16285985182165
tt4994952,Black or White,2015,Jan,30.0,9000000,21571189,21971021,12971021,144.1224555555556,98.18018470784769
tt1878870,The Edge of Seventeen,2016,Nov,18.0,9000000,14431633,19096003,10096003,112.17781111111113,75.57410312514091
tt1619029,Jackie,2016,Dec,2.0,9000000,13960394,36588512,27588512,306.53902222222223,38.1551291290556
tt1922612,Glee: The 3D Concert Movie,2011,Aug,12.0,9000000,11862398,17462398,8462398,94.02664444444444,67.9310939998046
tt8004664,Come Play,2020,Oct,29.0,9000000,10475990,12624174,3624174,40.2686,82.9835678754111
tt4669986,Loving,2016,Nov,4.0,9000000,7710234,12898064,3898064,43.311822222222226,59.778227182001885
tt0775529,The Savages,2007,Nov,28.0,9000000,6623082,10642023,1642023,18.2447,62.23517840545919
tt6423362,The Sun is Also a Star,2019,May,17.0,9000000,4950029,5680796,-3319204,-36.88004444444445,87.13618654850481
tt1104733,Hamlet 2,2008,Aug,22.0,9000000,4886216,4934104,-4065896,-45.17662222222222,99.02944891311571
