imdb_code,title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$,profit_loss_$,return_pct,domestic_%
No_code,Star Wars Ep. III: Revenge of the Sith,2005,May,19.0,115000000,380270577,848998877,733998877,638.2598930434782,44.790468786450475
No_code,Star Wars Ep. II: Attack of the Clones,2002,May,16.0,115000000,310676740,656695615,541695615,471.0396652173913,47.30909311766914
No_code,"Monsters, Inc.",2001,Nov,2.0,115000000,290149425,560483719,445483719,387.37714695652176,51.76768123036237
No_code,The Wolverine,2013,Jul,26.0,115000000,132556852,416456852,301456852,262.1363930434784,31.82967247709014
No_code,Dante’s Peak,1997,Feb,7.0,115000000,67163857,178200000,63200000,54.95652173913044,37.69015544332211
No_code,The Huntsman: Winter’s War,2016,Apr,6.0,115000000,48003015,165149302,50149302,43.60808869565218,29.066435291382586
No_code,Windtalkers,2002,Jun,14.0,115000000,40914068,77628265,-37371735,-32.49716086956522,52.7051171374241
No_code,Astérix aux Jeux Olympiques,2008,Jul,4.0,113500000,999811,132999811,19499811,17.180450220264316,0.7517386622451666
No_code,Gulliver's Travels,2010,Dec,24.0,112000000,42779261,232017848,120017848,107.15879285714287,18.437918189810983
No_code,Ferdinand,2017,Dec,8.0,111000000,84410380,289838913,178838913,161.11613783783784,29.123204723031787
No_code,Deadpool 2,2018,May,11.0,110000000,324591735,786362370,676362370,614.8748818181817,41.27762814998383
No_code,Gravity,2013,Oct,3.0,110000000,274092705,689742192,579742192,527.0383563636364,39.738428093724615
No_code,Night at the Museum,2006,Dec,22.0,110000000,250863268,579446407,469446407,426.76946090909087,43.293610068066215
No_code,Mr. and Mrs. Smith,2005,Jun,10.0,110000000,186336279,486124090,376124090,341.9309909090909,38.331011121049364
No_code,San Andreas,2015,May,27.0,110000000,155190832,456258539,346258539,314.78049,34.013792342415755
No_code,The Smurfs,2011,Jul,29.0,110000000,142614158,563749323,453749323,412.49938454545446,25.297441997992433
No_code,Live Free or Die Hard,2007,Jun,27.0,110000000,134529403,382288147,272288147,247.5346790909091,35.190576546962625
No_code,The Divergent Series: Insurgent,2015,Mar,18.0,110000000,130179072,295075882,185075882,168.25080181818183,44.11715085545352
No_code,Ocean's Twelve,2004,Dec,10.0,110000000,125531634,362989076,252989076,229.9900690909091,34.582758077270626
No_code,Tomorrow Never Dies,1997,Dec,19.0,110000000,125304276,339504276,229504276,208.6402509090909,36.908011137980495
No_code,The Patriot,2000,Jun,28.0,110000000,113330342,215300000,105300000,95.72727272727272,52.638338132837895
No_code,300: Rise of an Empire,2014,Mar,7.0,110000000,106580051,330780051,220780051,200.70913727272728,32.22082186570556
No_code,The Aviator,2004,Dec,17.0,110000000,102608827,208370892,98370892,89.42808363636364,49.24335928839811
No_code,Passengers,2016,Dec,21.0,110000000,100014699,302239672,192239672,174.76333818181817,33.09118830700689
