title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$
Godzilla vs. Kong,2021,Mar,25,155000000,100563133,467826620
Terminator: Genisys,2015,Jun,24,155000000,89760956,432150894
Pacific Rim: Uprising,2018,Mar,16,155000000,59874525,290930148
Alexander,2004,Nov,24,155000000,34297191,167297191
War for the Planet of the Apes,2017,Jul,14,152000000,146880162,489592267
Pearl Harbor,2001,May,25,151500000,198539855,449239853
Transformers,2007,Jul,2,151000000,319246193,708272592
Frozen II,2019,Nov,20,150000000,477373578,1445182280
Wonder Woman,2017,May,29,150000000,412563408,818058221
Frozen,2013,Nov,22,150000000,400953009,1265778169
Zootopia,2016,Feb,10,150000000,341268248,1004629935
Harry Potter and the Order of the Phoenix,2007,Jul,11,150000000,292137260,940743940
Harry Potter and the Goblet of Fire,2005,Nov,18,150000000,290201752,891320084
The Matrix Reloaded,2003,May,15,150000000,281553689,738576929
I am Legend,2007,Dec,14,150000000,256393010,585532684
Moana,2016,Jan,27,150000000,248757044,634965560
Hancock,2008,Jul,1,150000000,227946274,624234272
Shang-Chi and the Legend of the Ten Rings,2021,Sep,1,150000000,213321384,402241035
Charlie and the Chocolate Factory,2005,Jul,15,150000000,206459076,475825484
Ratatouille,2007,Jun,29,150000000,206445654,626549695
Thor: The Dark World,2013,Oct,30,150000000,206362140,644602516
Batman Begins,2005,Jun,15,150000000,205343774,358858124
Mission: Impossible—Rogue Nation,2015,Jul,29,150000000,195042377,688858992
Dunkirk,2017,Jul,18,150000000,190068280,519452014
Thor,2011,Apr,29,150000000,181030624,449326618
Madagascar: Escape 2 Africa,2008,Nov,7,150000000,180174880,599680774
X-Men Origins: Wolverine,2009,May,1,150000000,179883157,374825760
Night at the Museum: Battle of the Smithsonian,2009,May,22,150000000,177243721,402231063
Kung Fu Panda 2,2011,May,26,150000000,165249063,664837547
Mad Max: Fury Road,2015,May,14,150000000,153636354,367457874
Pokémon: Detective Pikachu,2019,May,3,150000000,144105346,431482976
The Matrix Revolutions,2003,Nov,5,150000000,139270910,427300260
Ready Player One,2018,Mar,20,150000000,137690172,579055653
Chicken Little,2005,Nov,4,150000000,135386665,310043823
Mission: Impossible III,2006,May,5,150000000,133501348,399387745
Angels & Demons,2009,May,15,150000000,133375846,490875846
Troy,2004,May,13,150000000,133298577,483152040
The Last Airbender,2010,Jul,1,150000000,131772187,319713881
Bee Movie,2007,Nov,2,150000000,126631277,287594577
G-Force,2009,Jul,24,150000000,119436770,292817841
Bolt,2008,Nov,21,150000000,114053579,328015029
Wrath of the Titans,2012,Mar,28,150000000,83670083,305270083
Beowulf,2007,Nov,16,150000000,82280579,195080579
Dark Shadows,2012,May,9,150000000,79727149,238202668
White House Down,2013,Jun,28,150000000,73103784,205440387
Space Jam: A New Legacy,2021,Jul,14,150000000,70521366,143336550
The Wolfman,2010,Feb,12,150000000,62189884,142634358
The Great Wall,2016,Dec,15,150000000,45157105,334486852
Pan,2015,Sep,25,150000000,35088320,151525973
Mars Needs Moms,2011,Mar,11,150000000,21392758,39549758
Flushed Away,2006,Nov,3,149000000,64665672,179357126
Madagascar 3: Europe's Most Wanted,2012,Jun,8,145000000,216391482,746921271
